Table 2.4 : Regionwise and Statewise Installed Capacity of Electricity Generation (Utilities)
Unit: (in GW) | Publication pages: 24

States/UTs,Large Hydro 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Large Hydro 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 (2),Large Hydro Thermal 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Thermal 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Thermal Nuclear 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Nuclear 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,Nuclear RES* 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,RES* 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,RES* 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 (2),Total 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024 31.03.2023 31.03.2024,( 2022-23 to 2023-24) (%)
D. & N. Haveli,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,-
Goa,0.00,0.00,0.05,0.05,0.00,0.00,0.03,0.05,0.07,0.09,24.83
Central Sector WR,1.52,1.52,22.88,22.88,1.84,3.24,0.67,0.67,26.91,28.31,5.21
Sub-Total (WR),7.45,7.45,92.62,92.82,1.84,3.24,39.47,48.71,141.38,152.21,7.66
Andhra Pradesh,1.67,1.67,13.10,13.90,0.00,0.00,9.11,9.17,23.89,24.75,3.60
Telangana,2.48,2.48,7.46,7.46,0.00,0.00,5.10,5.19,15.04,15.13,0.62
Karnataka,3.63,3.63,7.11,7.11,0.00,0.00,16.72,17.75,27.46,28.49,3.76
Kerala,1.86,1.86,0.33,0.33,0.00,0.00,1.04,1.32,3.24,3.51,8.40
Tamil Nadu,2.18,2.18,9.03,9.45,0.00,0.00,17.74,19.80,28.95,31.43,8.56
Puducherry,0.00,0.00,0.03,0.03,0.00,0.00,0.04,0.05,0.07,0.08,21.14
Lakshadweep,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.03,0.03,5.65
Central Sector SR #,0.00,0.00,13.25,14.85,3.32,3.32,0.54,0.54,17.11,18.71,9.35
Sub-Total (SR),11.83,11.83,50.35,53.16,3.32,3.32,50.29,53.82,115.78,122.14,5.49
Bihar,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.45,0.39,0.45,15.54
Jharkhand,0.13,0.13,2.25,2.25,0.00,0.00,0.11,0.19,2.49,2.57,2.86
Odisha,2.07,2.07,4.94,4.94,0.00,0.00,0.62,0.66,7.63,7.67,0.56
West Bengal,0.99,0.99,6.93,6.93,0.00,0.00,0.62,0.64,8.53,8.55,0.23
Sikkim,0.87,0.87,0.00,0.00,0.00,0.00,0.06,0.06,0.93,0.93,0.25
A. & N. Islands,0.00,0.00,0.09,0.09,0.00,0.00,0.03,0.03,0.12,0.12,0.00
Central Sector ER $,1.01,1.01,22.30,23.62,0.00,0.00,0.02,0.01,23.32,24.64,5.64
Sub-Total (ER),5.07,5.07,36.51,37.83,0.00,0.00,1.85,2.04,43.43,44.94,3.48
Arunachal Pradesh,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.14,0.10
Assam,0.10,0.10,0.31,0.31,0.00,0.00,0.16,0.17,0.57,0.57,1.46
Manipur,0.00,0.00,0.04,0.04,0.00,0.00,0.02,0.02,0.05,0.05,1.41
Meghalaya,0.32,0.32,0.00,0.00,0.00,0.00,0.05,0.07,0.37,0.40,6.06
Mizoram,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.07,0.08,3.12
Nagaland,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.36
Tripura,0.00,0.00,0.11,0.11,0.00,0.00,0.03,0.03,0.13,0.13,0.64
Central Sector NER,1.61,1.61,2.00,2.00,0.00,0.00,0.03,0.04,3.64,3.64,0.14
Sub-Total (NER),2.03,2.03,2.45,2.45,0.00,0.00,0.54,0.58,5.02,5.06,0.80
Total States,31.19,31.19,161.30,164.32,0.00,0.00,123.53,142.01,316.01,337.52,6.81
Total Central,15.66,15.74,75.98,78.90,6.78,8.18,1.63,1.63,100.05,104.45,4.40
Total All India,46.85,46.93,237.27,243.22,6.78,8.18,125.16,143.64,416.06,441.97,6.23

Note: $ Damodar Valley Corporation (DVC) installed capacity is considered under central sector(ER)
"Note: * RES: Comprising of Solar, Wind, Bio-Power and Small Hydro Power"
Note: # Includes NLC-Central capacity also
Note: Sub-totals/Totals may not tally due to conversion to GW and rounding off.
Note: Source : Central Electricity Authority.
