sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
11.,"egg, fish & meat",310.95,706.12,487.99,228.93,107.76,134.05,655.15,77.78,85.33,121.92,198.52,292.38,503.59,83.46,198.41,430.46,632.78,720.34,868.56,234.98,75.41,54.87,608.20,358.18,344.34,731.99,113.88,143.80,442.43,549.90,196.27,245.55,214.88,420.91,793.53,442.39,230.66
12.,edible oil,148.88,153.59,184.00,180.22,152.33,153.03,125.95,235.78,117.21,145.10,159.06,147.58,105.23,139.27,169.48,117.57,135.80,163.66,104.62,144.62,136.55,119.15,244.14,123.99,143.45,168.43,145.58,135.41,175.03,189.01,171.80,241.59,156.64,117.72,169.35,199.26,153.05
13.,spices,137.42,133.32,132.05,114.84,111.70,157.24,178.16,168.94,160.83,124.15,117.01,168.55,157.77,113.08,138.62,109.46,83.30,100.79,109.75,110.86,94.45,141.40,236.45,170.63,131.96,168.26,106.95,137.08,121.19,214.53,155.39,156.56,117.74,150.88,165.51,170.85,137.85
14.,"beverages, processed food#, etc.",733.70,"1,324.38",794.62,460.00,369.26,918.38,"1,561.16",727.03,738.94,931.65,434.79,919.69,725.15,448.83,679.00,507.07,740.59,"1,077.08",744.42,551.97,641.47,499.53,"2,202.44",981.26,935.26,678.11,456.31,676.88,585.36,"1,261.77","1,495.06",686.61,556.61,983.73,623.18,683.31,686.95
15.,food: total (1-14),"2,616.66","3,803.11","2,865.92","2,258.52","1,761.19","3,167.63","4,110.02","2,780.28","3,148.41","3,066.55","2,054.73","2,796.93","2,549.06","1,928.95","2,484.64","2,072.99","2,654.92","3,155.49","3,036.61","2,075.47","2,590.72","2,342.25","5,654.57","2,909.87","2,889.94","3,180.84","2,045.93","2,589.55","2,345.68","4,054.01","4,257.83","2,782.26","2,564.72","3,398.43","2,857.48","2,879.36","2,529.67"
16.,"pan, tobacco & intoxicants",148.86,563.11,325.48,77.30,168.29,298.29,148.59,102.68,292.57,170.30,82.03,201.63,97.29,189.51,76.13,220.57,304.89,403.37,249.72,138.47,102.47,107.31,633.97,153.97,338.44,382.96,151.94,322.31,144.01,548.30,490.62,264.24,113.73,250.31,85.12,182.01,156.90
17.,fuel and light,359.72,307.46,370.32,325.08,333.86,497.04,427.70,448.14,500.26,422.19,339.54,355.60,424.87,311.11,449.83,310.65,392.82,441.68,382.78,357.53,537.07,437.71,406.03,374.29,317.52,455.15,398.13,420.24,415.39,484.02,524.95,382.84,419.50,346.93,371.69,452.86,404.36
18.,toilet articles,172.73,254.50,206.96,136.03,161.72,247.01,251.72,203.19,198.68,265.65,157.74,203.32,150.24,162.08,199.93,163.13,200.94,243.06,295.20,151.53,213.72,160.17,326.81,210.77,215.73,229.46,153.73,198.30,155.30,280.87,365.49,220.52,183.74,134.10,144.81,215.34,185.30
19.,other household consumables,158.25,158.82,114.40,101.53,102.44,155.38,219.89,144.53,160.88,134.37,101.01,168.71,109.29,120.78,133.64,80.01,142.00,130.91,155.17,107.23,129.01,122.04,296.19,187.20,155.68,160.93,113.45,124.44,104.93,167.89,276.71,146.28,125.33,110.56,110.93,187.64,136.38
20.,education,383.92,285.16,166.41,259.85,219.45,397.38,205.11,351.81,492.24,640.43,310.74,584.58,288.93,328.84,419.06,314.78,390.21,192.70,336.21,224.58,372.90,406.06,319.92,402.62,504.00,378.78,303.35,429.61,257.71,371.88,718.38,126.73,375.35,214.31,33.16,487.11,373.50
21.,medical (hospitalization),146.13,44.02,74.47,78.23,58.64,56.30,160.76,155.28,75.47,140.83,132.22,133.34,241.51,65.45,184.24,43.76,32.98,41.64,33.16,61.58,180.66,68.37,21.20,160.14,99.63,126.68,86.19,160.91,82.82,126.42,16.37,51.73,78.29,45.36,212.73,79.50,123.30
22.,medical (non- hospitalization),353.69,197.20,166.83,198.89,199.22,233.12,299.63,195.55,239.56,263.53,174.50,228.23,410.74,211.85,260.75,129.51,117.02,161.98,136.77,221.41,311.08,199.22,202.84,295.20,222.13,462.33,234.92,263.35,354.93,206.98,418.35,116.75,260.91,100.54,165.91,256.58,258.38
23.,conveyance,567.67,696.95,471.84,277.56,436.40,667.45,923.69,604.26,633.58,588.38,399.74,663.53,750.75,456.67,564.25,589.46,495.09,460.42,488.72,436.92,596.09,558.05,613.79,762.28,743.25,471.16,389.69,626.13,274.84,892.02,"1,146.07",344.32,549.90,436.14,386.03,892.40,555.05
24.,consumer services excluding conveyance&,376.31,381.82,312.38,245.02,247.24,522.56,381.98,374.80,445.86,485.04,262.31,480.85,472.74,271.11,433.95,272.14,375.89,430.91,340.52,242.10,380.91,345.19,628.51,395.60,520.93,295.66,291.90,428.41,322.74,462.14,"1,290.77",296.12,389.06,333.74,208.21,472.15,382.25
25.,entertainment,117.38,117.87,108.15,58.77,69.38,147.72,119.13,118.29,108.02,77.27,66.60,134.80,117.34,74.24,98.46,75.67,103.00,118.14,107.29,73.18,72.25,60.03,222.24,132.54,165.56,115.30,74.10,127.27,83.11,129.10,208.65,57.05,67.94,54.55,47.04,113.56,102.13
26.,rent,557.83,680.93,255.28,170.45,144.40,531.74,467.60,279.56,561.13,727.73,222.68,871.73,275.97,199.40,554.48,38.86,479.82,509.23,410.73,353.21,181.27,257.34,"1,286.57",773.80,879.02,202.47,164.01,284.85,120.80,941.55,"1,019.03",786.53,172.08,182.91,171.26,572.40,423.46
27.,other taxes & cesses,22.05,26.28,17.72,5.28,23.26,0.33,8.91,30.02,0.51,2.07,7.58,29.15,18.24,9.50,33.73,13.17,14.88,24.23,5.61,9.46,1.56,0.58,21.08,10.55,19.44,8.90,8.08,1.71,8.38,32.51,-,9.68,0.81,0.10,3.99,21.85,15.50
28.,clothing & bedding$,304.07,397.34,282.95,232.09,232.22,380.41,322.19,314.22,390.26,480.18,247.50,284.57,279.24,241.05,299.82,221.64,339.11,320.26,513.32,285.43,365.72,315.10,639.62,295.52,404.13,412.36,247.39,370.87,273.22,456.76,839.90,370.29,378.12,245.57,229.85,306.17,299.90
29.,footwear,41.18,75.76,43.83,35.11,35.05,64.56,51.85,51.73,79.39,115.97,41.46,51.48,44.81,45.94,53.33,49.49,87.72,123.30,141.22,38.44,70.90,54.69,199.77,39.40,49.82,78.35,45.88,76.29,37.09,66.59,150.71,49.14,69.26,69.19,40.17,48.84,49.66
30.,durable goods,455.31,645.20,352.55,307.98,290.35,850.56,635.09,466.38,583.68,494.79,330.60,477.42,847.19,370.82,410.81,284.62,302.05,897.70,464.72,410.86,437.21,478.94,631.98,526.28,633.24,443.36,331.71,580.16,286.23,"1,047.13",851.43,294.04,429.77,291.74,406.41,538.66,462.96
31.,non-food: total (16-30),"4,165.09","4,832.42","3,269.58","2,509.18","2,721.92","5,049.85","4,623.84","3,840.44","4,762.10","5,008.73","2,876.26","4,868.94","4,529.16","3,058.33","4,172.39","2,807.47","3,778.43","4,499.54","4,061.14","3,111.92","3,952.80","3,570.80","6,450.54","4,720.18","5,268.51","4,223.85","2,994.47","4,414.82","2,921.51","6,214.14","8,317.44","3,516.25","3,613.78","2,816.07","2,617.30","4,827.08","3,929.03"
32.,total expenditure (15+31),"6,781.76","8,635.53","6,135.50","4,767.69","4,483.11","8,217.48","8,733.87","6,620.72","7,910.51","8,075.28","4,930.99","7,665.87","7,078.21","4,987.29","6,657.03","4,880.46","6,433.35","7,655.03","7,097.75","5,187.39","6,543.51","5,913.06","12,105.11","7,630.04","8,158.44","7,404.69","5,040.41","7,004.37","5,267.20","10,268.15","12,575.27","6,298.50","6,178.50","6,214.51","5,474.78","7,706.44","6,458.69"
