table_id,title,folder,file,data_rows,columns,publication_pages,unit,notes
2.6,Table 2.6 : Installation of Off-grid / Decentralised Renewable Energy Systems/ Devices as on 31.03.2024,02_Chapter_2_Installed_capacity,Table_2.6_Installation_of_Off_grid_Decentralised_Renewable_Energy_Systems_Devices_.csv,39,9,26,,* Others includes installations through NGOs/IREDA in different states | SLS = Street Lighting System; HLS = Home Lighting System; SL = Solar Lantern; PP = Power Plants; SPV = Solar Photovoltaic; | MW = Mega Watt; KWP = Kilowatt peak | Source : Ministry of New and Renewable Energy
3.1,Table 3.1 : Yearwise Production of Primary Energy Resources in Physical Units,03_Chapter_3_Production,Table_3.1_Yearwise_Production_of_Primary_Energy_Resources_in_Physical_Units.csv,14,6,33,,"to 2023-24(% ) | (P): Provisional | # For Natural Gas Gross Production is reported | * Electricity from Hydro, Nuclear and other Renewable energy sources (Utility) | Sources: 1. Ministry of Coal | 2. Ministry of Petroleum & Natural Gas | 3. Central Electricity Authority"
3.2,Table 3.2 : Yearwise Production of Primary Energy Resources in Energy U i,03_Chapter_3_Production,Table_3.2_Yearwise_Production_of_Primary_Energy_Resources_in_Energy_U_i.csv,13,13,33,(in Petajoules) @,"to 2023-24(% ) | (P): Provisional | * Electricity from hydro, Nuclear and other Renwable energy sources (utility) | @ Conversion factors have been applied to convert production of primary resources of energy into petajoules | Sources: 1. Ministry of Coal | 2. Ministry of Petroleum & Natural Gas | 3. Central Electricity Authority"
3.3,Table 3.3 : Yearwise Production of Coal - Typewise and Sectorwise,03_Chapter_3_Production,Table_3.3_Yearwise_Production_of_Coal_Typewise_and_Sectorwise.csv,14,7,34,( Million Tonnes),to 2023-24(%) | (P): Provisional | Source : Ministry of Coal
3.3A,Table 3.3 A: Grade Wise Production of Coking Coal by Sector during 2022-23 & 2023-24,03_Chapter_3_Production,Table_3.3A_A_Grade_Wise_Production_of_Coking_Coal_by_Sector_during_2022_23_2023_24.csv,15,8,34,(Million Tonnes),(P): Provisional | Source: Ministry of Coal
3.3B,Table 3.3 B: Grade Wise Production of Non-Coking Coal by Sector during 2022-23 & 2023,03_Chapter_3_Production,Table_3.3B_B_Grade_Wise_Production_of_Non_Coking_Coal_by_Sector_during_2022_23_2023.csv,19,8,35,( Million Tonnes),(P): Provisional | Source: Ministry of Caol
3.4,Table 3.4 : Yearwise Domestic Production of Petroleum Products,03_Chapter_3_Production,Table_3.4_Yearwise_Domestic_Production_of_Petroleum_Products.csv,14,17,36,(Million Tonnes),"24 over 2022-23(%) | (P): Provisional LPG=Liquified Petroleum Gas, MG= Motor Gasoline, ATF= Aviation Turbine Fuel, Lubes= Lubricant, Pet.Coke= Petroleum Coke | * Others include VGO, Benzene, MTO, CBFS, Sulphur, Waxes, MTBE & Reformate, etc. | Source : Ministry of Petroleum & Natural Gas."
3.5,Table 3.5 : Yearwise Gross and Net Production of Natural Gas,03_Chapter_3_Production,Table_3.5_Yearwise_Gross_and_Net_Production_of_Natural_Gas.csv,14,7,37,(in Billion Cubic Metres),to 2023-24 (% ) | (P) : Provisional | Total may not tally due to rounding off. | Source : Ministry of Petroleum & Natural Gas.
3.6(A),Table 3.6 (A): Yearwise Gross Generation of Electricity from Utilities,03_Chapter_3_Production,Table_3.6_A__A_Yearwise_Gross_Generation_of_Electricity_from_Utilities.csv,14,9,38,,"to 2023-24(%) | (P):Provisional * RES: Comprising of Solar, Wind, Bio-Power and Small Hydro Power | Source : Central Electricity Authority."
3.6(B),Table 3.6 (B) : Yearwise Gross Generation of Electricity from Non-Utilities,03_Chapter_3_Production,Table_3.6_B__B_Yearwise_Gross_Generation_of_Electricity_from_Non_Utilities.csv,14,9,38,,"to 2023-24(%) | (P): Provisional * RES: Comprising of Solar, Wind, Bio-Power and Small Hydro Power | Source : Central Electricity Authority."
4.1,"Table 4.1: Yearwise Foreign Trade in Coal, Crude Oil, Petroleum Products(total), Natural Gas and Electricity",04_Chapter_4_Foreign_trade_and_prices,Table_4.1_Yearwise_Foreign_Trade_in_Coal_Crude_Oil_Petroleum_Products_total_Natura.csv,14,19,"43, 44",(Million Tonnes),(P): Provisional. | Sources: | 1. Ministry of Coal | 2. Ministry of Petroleum & Natural Gas. | 3. Central Electricity Authority
4.2,Table 4.2 : Yearwise Wholesale Price Indices of Energy Commodities,04_Chapter_4_Foreign_trade_and_prices,Table_4.2_Yearwise_Wholesale_Price_Indices_of_Energy_Commodities.csv,12,13,44,,"* Annual average of monthly index, Financial Year wise | Source :Office of the Economic Advisor, Ministry of Commerce & Industry."
5.1,Table 5.1 : Yearwise Availability of Energy Resources,05_Chapter_5_Availability,Table_5.1_Yearwise_Availability_of_Energy_Resources.csv,13,5,50,,to 2023-24 (%) | (P): Provisional | Note: Availability is defined as below: | Coal/lignite: Production+Import -Export- change in stocks (Figure for 2014-15 to 2022-23 stand modified | due to correction in formula) | Natural gas:Net Production i.e. (Gross production -Flared - Losses) + Net imports | Sources: 1. Ministry of Coal | 2. Ministry of Petr
5.2,Table 5.2 : Yearwise Availability of Coal and Lignite,05_Chapter_5_Availability,Table_5.2_Yearwise_Availability_of_Coal_and_Lignite.csv,12,11,50,( Million Tonnes),(P): Provisional | Total may not tally due to rounding off | Source : Ministry of Coal
5.3,"Table 5.3 : Yearwise Availability of Crude Oil, Petroleum Products and Natural Gas.",05_Chapter_5_Availability,Table_5.3_Yearwise_Availability_of_Crude_Oil_Petroleum_Products_and_Natural_Gas.csv,14,10,51,,to 2023-24 (%) | * : Availability of natural gas is equal to indigenous net production (Gross production-Flared/Losses) + net imports | (P): Provisional; Total may not tally due to rounding off. | Source : Ministry of Petroleum & Natural Gas.
5.4,Table 5.4 : Yearwise Availability of Electricity,05_Chapter_5_Availability,Table_5.4_Yearwise_Availability_of_Electricity.csv,14,6,52,(in Giga Watt hour = 106 Kilo Watt hour),to 2023-24 (%) | (P): Provisional | Source:Central Electricity Authority.
6.1,Table 6.1: Yearwise Consumption of Energy Resources in Physical Units,06_Chapter_6_Consumption,Table_6.1_Yearwise_Consumption_of_Energy_Resources_in_Physical_Units.csv,14,6,60,(Million Tonnes) MMT (GWh),23(%) | P: Provisional | GWh = Giga Watt hour = 106 x Kilo Watt hour | # Does not include Lignite | *Crude oil in terms of refinery crude throughput. | ** Total Electricity Consumed | Sources: 1. Ministry of Coal | 2. Ministry of Petroleum & Natural Gas. | 3. Central Electricity Authority.
6.2,Table 6.2: Yearwise Consumption of Primary Energy Resources in Energy Units,06_Chapter_6_Consumption,Table_6.2_Yearwise_Consumption_of_Primary_Energy_Resources_in_Energy_Units.csv,12,7,60,(In Petajoules),"(P) | 24(%) | *: Crude oil in terms of refinery crude processed. P: Provisional. | #: Electricity from Hydro, Nuclear and other Renewable energy sources (Utility) | Note: The figure against electricity has been calculated using the following formula: | Generattion from Electricity (Utility) from Hydro, Nuclear and other RE - Losses | Sources: 1. Mi"
6.3,Table 6.3: Yearwise Consumption of Coal - Industrywise,06_Chapter_6_Consumption,Table_6.3_Yearwise_Consumption_of_Coal_Industrywise.csv,16,11,61,( Million Tonnes),"(P): Provisional | * Includes colliery consumption, jute, coal for soft coke & other industries | Source : Ministry of Coal"
6.4,Table 6.4: Yearwise Consumption of Lignite - Industrywise,06_Chapter_6_Consumption,Table_6.4_Yearwise_Consumption_of_Lignite_Industrywise.csv,14,9,61,( Million Tonnes),"for 2023-24 (P) | (P): Provisional | * Includes Sponge Iron, colliery consumption., jute, bricks, coal for soft coke, chemicals, fertilisers & other industries consumption and imported lignite | Source : Ministry of Coal"
6.5,Table 6.5 : Yearwise Consumption of Petroleum Products - Categorywise,06_Chapter_6_Consumption,Table_6.5_Yearwise_Consumption_of_Petroleum_Products_Categorywise.csv,14,16,62,(Million Tonnes),"(P) | over 2022-23 (%) | 24(%) | (P) : Provisional; Consumption includes sales by oil companies, own consumption and direct private imports | * : Includes those of light & middle distillates and heavy ends and sales through private parties. | Total may not tally due to rounding off. | Source: Ministry of Petroleum & Natural Gas."
6.6(A),Table 6.6 (A): Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use),06_Chapter_6_Consumption,Table_6.6_A__A_Yearwise_Consumption_of_Selected_Petroleum_Products_Sectorwise_end_use.csv,14,11,63,('000 Tonnes),Side label: High Speed Diesel Oil | for 2023-24 (P) | Source: Ministry of Petroleum & Natural Gas
6.6(A-1),Table 6.6(A-1) : Distribution of High Speed Diesel(HSD) under Reseller/ Retail into different End,06_Chapter_6_Consumption,Table_6.6_A-1__Distribution_of_High_Speed_Diesel_HSD_under_Reseller_Retail_into_differe.csv,9,9,63,( '000 Tonnes),Side label: High Speed Diesel Oil | Note : The above end-use distribution of High Speed Diesel(HSD) ( under Retail/Reseller segment) has been made based | on the findings mentioned in Figure 17 ( End-use share(%) of diesel ( retail and direct ) across India ) of Sectoral Study | Report of PPAC ( | https://ppac.gov.in/uploads/rep_studies/1666932000_
6.6(B),Table 6.6 (B) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use),06_Chapter_6_Consumption,Table_6.6_B__B_Yearwise_Consumption_of_Selected_Petroleum_Products_Sectorwise_end_use.csv,14,11,64,('000 Tonnes),Side label: Light Diesel Oil Furnace Oil | for 2023-24 (P) | Source: Ministry of Petroleum & Natural Gas
6.6(C),Table 6.6 (C) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use),06_Chapter_6_Consumption,Table_6.6_C__C_Yearwise_Consumption_of_Selected_Petroleum_Products_Sectorwise_end_use.csv,14,10,64,('000 Tonnes),Side label: Light Diesel Oil Furnace Oil | (P) | over 2022-23(%) | 24(%) | Source: Ministry of Petroleum & Natural Gas
6.6(D),Table 6.6 (D) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use),06_Chapter_6_Consumption,Table_6.6_D__D_Yearwise_Consumption_of_Selected_Petroleum_Products_Sectorwise_end_use.csv,13,9,65,('000 Tonnes),Side label: Low Sulphur Heavy Stock Liquefied Petroleum Gas | (P) | over 2022-23(%) | (%) | Source: Ministry of Petroleum & Natural Gas
6.6(E),Table 6.6 (E) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use),06_Chapter_6_Consumption,Table_6.6_E__E_Yearwise_Consumption_of_Selected_Petroleum_Products_Sectorwise_end_use.csv,13,12,65,('000 Tonnes),Side label: Low Sulphur Heavy Stock Liquefied Petroleum Gas | (P) | over 2022-23(%) | 24(%) | Source: Ministry of Petroleum & Natural Gas
6.6(F),Table 6.6 (F) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use),06_Chapter_6_Consumption,Table_6.6_F__F_Yearwise_Consumption_of_Selected_Petroleum_Products_Sectorwise_end_use.csv,14,9,66,('000 Tonnes),Side label: SKO(Kerosene) | for 2023-24 (P) | (%) | Source: Ministry of Petroleum & Natural Gas
6.6(G),Table 6.6 (G) : Yearwise Consumption of Selected Petroleum Products - Sectorwise(end use),06_Chapter_6_Consumption,Table_6.6_G__G_Yearwise_Consumption_of_Selected_Petroleum_Products_Sectorwise_end_use.csv,14,6,66,('000 Tonnes),Side label: SKO(Kerosene) | for 2023-24 (P) | (%) | Source: Ministry of Petroleum & Natural Gas
6.7,Table 6.7: Yearwise Consumption of Natural Gas - Sectorwise,06_Chapter_6_Consumption,Table_6.7_Yearwise_Consumption_of_Natural_Gas_Sectorwise.csv,16,12,67,,"Road Transport | Pipeline System | (b) Non-Energy Purpose | MMSCMD | Note: **: Availability Basis (Net Production+LNG Imports) P: Provisional | 1. Re-classification among the sectors of consumption of natural gas under energy and non-energy sectors, has been done depending on usage. Sectors where natural gas is being used as feedstock are classifie"
6.8,Table 6.8: Yearwise Consumption of Electricity - Sectorwise,06_Chapter_6_Consumption,Table_6.8_Yearwise_Consumption_of_Electricity_Sectorwise.csv,14,8,68,(in Giga Watt Hour = 106 Kilo Watt Hour),24 (P) | 24 over 2022-23(%) | (P): Provisional | Source : Central Electricity Authority.
6.9,"Table 6.9 : Electricity Generated (from Utilities), Distributed, Sold and Transmission & Distribution Losses",06_Chapter_6_Consumption,Table_6.9_Electricity_Generated_from_Utilities_Distributed_Sold_and_Transmission_D.csv,13,7,68,(in Giga Watt hour =106 Kilo Watt hour),24 over 2022-23(% ) | (P): Provisional | Source : Central Electricity Authority.
7.1,Table-7.1 : Energy Commodity Balance for 2022-23 (Final),07_Chapter_7_Energy_balance,Table_7.1_Energy_Commodity_Balance_for_2022_23_Final.csv,39,16,73,(000 tonnes),"Transfer | CHP and heat plants | Statistical Difference is defined as final consumption + use for transformation processes and consumption by energy industry own use + losses - domestic supply | Final consumption = Total Consumption in Transport + Total Industrial Consumption+Consumption by Other sectors+Non energy Use | * Incluse Paraffin waxes, p"
7.2,Table-7.2 : Energy Balance of India for 2022-23 ( Final ),07_Chapter_7_Energy_balance,Table_7.2_Energy_Balance_of_India_for_2022_23_Final.csv,41,11,74,All figures in KToE,Final consumption refers to End Use Consumption
7.3,Table-7.3 : Energy Balance of India for 2022-23 ( Final ),07_Chapter_7_Energy_balance,Table_7.3_Energy_Balance_of_India_for_2022_23_Final.csv,41,11,75,All figures in Peta Joule,Final consumption refers to End Use Consumption
7.4,Table 7.4: Energy Balance of Petroleum Products for 2022-23( Final ),07_Chapter_7_Energy_balance,Table_7.4_Energy_Balance_of_Petroleum_Products_for_2022_23_Final.csv,41,13,76,All figures in KToE,"Final consumption refers to End Use Consumption | * Incluse Paraffin waxes, petroleum jelly, LSWR, MTBE and reformate, BGO, Benzene, MTO, CBFS and Sulfur etc."
7.5,Table 7.5 : Energy Commodity Balance for 2023-24(P),07_Chapter_7_Energy_balance,Table_7.5_Energy_Commodity_Balance_for_2023_24_P.csv,38,16,77,(000 tonnes),"P: Provisional | Statistical Difference is defined as final consumption + use for transformation processes and consumption by energy industry own use + losses - domestic supply | Final consumption = Total Consumption in Transport + Total Industrial Consumption+Consumption by Other sectors+Non energy Use | * Incluse Paraffin waxes, petroleum jelly, "
7.6,Table 7.6: Energy Balance of India for 2023-24 (P),07_Chapter_7_Energy_balance,Table_7.6_Energy_Balance_of_India_for_2023_24_P.csv,41,11,78,All figures in KToE,Final consumption refers to End Use Consumption | P: Provisional
7.7,Table 7.7: Energy Balance of India for 2023-24 (P),07_Chapter_7_Energy_balance,Table_7.7_Energy_Balance_of_India_for_2023_24_P.csv,41,11,79,All figures in Peta Joule,Final consumption refers to End Use Consumption | P: Provisional
7.8,Table 7.8 : Energy Balance of Petroleum Products for 2023-24(P),07_Chapter_7_Energy_balance,Table_7.8_Energy_Balance_of_Petroleum_Products_for_2023_24_P.csv,41,13,80,All figures in KToE,"Final consumption refers to End Use Consumption | P: Provisional | * Incluse Paraffin waxes, petroleum jelly, LSWR, MTBE and reformate, BGO, Benzene, MTO, CBFS and Sulfur etc."
8.1,Table 8.1: Per-Capita Primary Energy Consumption and Energy Intensity,08_Chapter_8_Sustainability,Table_8.1_Per_Capita_Primary_Energy_Consumption_and_Energy_Intensity.csv,15,8,101,in petajoules (in Thousands) Rs. crore) Megajoules) (Megajoules,"(%) | P: Provisional | Energy Intensity=Amount of energy consumed for producing one unit of Gross Domestic Product. | * Mid-Year (as on 1st October) population has been taken from Population Projections for India and states 2011 - | 2036; Report of the Technical Group On Population Projections, July, 2020 | ** GDP estimates are at base 2011-12 pric"
8.2,Table 8.2 India's Total Emissions related to Energy Sector,08_Chapter_8_Sustainability,Table_8.2_India_s_Total_Emissions_related_to_Energy_Sector.csv,9,11,101,,"2. Manufacturing industries & | B. Fugitive emission from | Source: India Fourth Biennial Update Report to The United Nations Framework Convention on Climate Change, Ministry of | Environment, Forest and Climate Change, December 2024 | *GgCO2 Equivalent : Gigagrams of carbon dioxide equivalent"
8.3,Table 8.3 Energy Indicators ( Economic Dimension) for Sustainability from FY : 2014-15 to FY : 2023-24(P),08_Chapter_8_Sustainability,Table_8.3_Energy_Indicators_Economic_Dimension_for_Sustainability_from_FY_2014_15_.csv,40,15,102,,and distribution | Hydro) | Stocks corresponding fuel consumption | Note: The difference in the figures (net energy import dependency- crude oil) computed by MoPNG and MoSPI arises due to methodolgical differences - MoSPI using data from supply side and MoPNG using consumption side.
8.4,Table 8.4: Energy Use per Capita in India,08_Chapter_8_Sustainability,Table_8.4_Energy_Use_per_Capita_in_India.csv,10,4,103,,*End use
8.5,Table 8.5: Energy Consumption per 000'rupees of GDP,08_Chapter_8_Sustainability,Table_8.5_Energy_Consumption_per_000_rupees_of_GDP.csv,10,4,103,,
8.6,Table 8.6: Efficiency of energy conversion and distribution,08_Chapter_8_Sustainability,Table_8.6_Efficiency_of_energy_conversion_and_distribution.csv,10,2,104,,
8.7,"Table 8.7 Reserves to Production Ratio of Coal, Lignite and All",08_Chapter_8_Sustainability,Table_8.7_Reserves_to_Production_Ratio_of_Coal_Lignite_and_All.csv,10,4,104,,"Note : All incudes Coal, Lignite, Crude Oil and Natural Gas"
8.8,Table 8.8: Resources to Production Ratio of all Energy Commodities,08_Chapter_8_Sustainability,Table_8.8_Resources_to_Production_Ratio_of_all_Energy_Commodities.csv,10,6,105,,"Note: All includes coal, lignite, Crude Oil and Natural Gas"
8.9,Table 8.9 Energy Intensity (in MJ/'000 Rs. of GVA) of major sectors,08_Chapter_8_Sustainability,Table_8.9_Energy_Intensity_in_MJ_000_Rs_of_GVA_of_major_sectors.csv,10,4,105,,
8.10,Table 8.10: Electricity Intensity (in Kwh/'000 Rs. of GVA) of major sectors,08_Chapter_8_Sustainability,Table_8.10_Electricity_Intensity_in_Kwh_000_Rs_of_GVA_of_major_sectors.csv,10,4,106,,
8.11,Table 8.11 Fuel Share of major Energy Commodities in Total Primary Energy,08_Chapter_8_Sustainability,Table_8.11_Fuel_Share_of_major_Energy_Commodities_in_Total_Primary_Energy.csv,10,6,106,,
8.12,Table 8.12: Fuel share of different energy commodities in Total Final Energy,08_Chapter_8_Sustainability,Table_8.12_Fuel_share_of_different_energy_commodities_in_Total_Final_Energy.csv,10,5,107,,
8.13,Table 8.13: Share of different fuel in Total Generation of Electricity (in percentage),08_Chapter_8_Sustainability,Table_8.13_Share_of_different_fuel_in_Total_Generation_of_Electricity_in_percentage.csv,10,7,107,,
8.14,Table 8.14: Net Energy Import Dependency of energy commodities,08_Chapter_8_Sustainability,Table_8.14_Net_Energy_Import_Dependency_of_energy_commodities.csv,10,6,108,,
9.1,Table 9.1: Physical Asset Accounts for Energy: 2023-24(P),09_Chapter_9_Energy_accounts,Table_9.1_Physical_Asset_Accounts_for_Energy_2023_24_P.csv,8,5,117,Million tonnes Million tonnes Million BBL MMSCM,"(Closing for last FY) | Closing Stock of mineral and energy resources | Source: Geological Survey of India, Ministry of Petroleum and Natural Gas | Sterilization Loss for Coal = Extraction*3.7 | Sterilization Loss for Lignite = Extraction*3.46 | 2P is the sum of proved and probable reserves. | 9.4 Physical Supply and Use Table for Energy | ‘Physica"
9.2(A),Table 9.2 (A) Physical Supply Table for Energy for the year 2022-23,09_Chapter_9_Energy_accounts,Table_9.2_A__A_Physical_Supply_Table_for_Energy_for_the_year_2022_23.csv,22,11,119,PHYSICAL SUPPLY TABLE (Unit:PJ),Energy Products: | Production of energy products by SIEC class: | Energy Residuals: | Other Residual Flows: | Energy from solid waste
9.2(B),Table 9.2 (B) Physical Use Table for Energy for the year 2022-23,09_Chapter_9_Energy_accounts,Table_9.2_B__B_Physical_Use_Table_for_Energy_for_the_year_2022_23.csv,31,15,120,PHYSICAL USE TABLE (Unit:PJ) Final Accumulation Export Statsitical Flows to the Total,Energy Products: | Transformaton of energy products by SIEC class | End-use of energy products by SIEC class: | Energy Residuals: | Other Residual Flows:
9.3(A),Table 9.3 (A) Physical Supply Table for Energy for the year 2023-24 (P),09_Chapter_9_Energy_accounts,Table_9.3_A__A_Physical_Supply_Table_for_Energy_for_the_year_2023_24_P.csv,22,11,121,PHYSICAL SUPPLY TABLE (Unit:PJ),Energy Products: | Production of energy products by SIEC class: | Energy Residuals: | Other Residual Flows: | Energy from solid waste
9.3(B),Table 9.3 (B) Physical Use Table for Energy for the year 2023-24 (P),09_Chapter_9_Energy_accounts,Table_9.3_B__B_Physical_Use_Table_for_Energy_for_the_year_2023_24_P.csv,31,15,122,PHYSICAL USE TABLE (Unit:PJ) Final Accumulation Export Statsitical Flows to the Total,Energy Products: | Transformaton of energy products by SIEC class | End-use of energy products by SIEC class: | Energy Residuals: | Other Residual Flows:
I,Table-I : Energy Balance of India for 2012-13 ( Final ),Annexure_IV_Historical_energy_balance,Table_I_Energy_Balance_of_India_for_2012_13_Final.csv,42,10,139,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
II,Table-II: Energy Balance of India for 2013-14 (Final),Annexure_IV_Historical_energy_balance,Table_II_Energy_Balance_of_India_for_2013_14_Final.csv,41,10,140,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
III,Table-III: Energy Balance of India for 2014-15 (Final),Annexure_IV_Historical_energy_balance,Table_III_Energy_Balance_of_India_for_2014_15_Final.csv,41,10,141,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
IV,Table-IV: Energy Balance of India for 2015-16 (Final),Annexure_IV_Historical_energy_balance,Table_IV_Energy_Balance_of_India_for_2015_16_Final.csv,41,10,142,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
V,Table-V: Energy Balance of India for 2016-17 (Final),Annexure_IV_Historical_energy_balance,Table_V_Energy_Balance_of_India_for_2016_17_Final.csv,41,10,143,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
VI,Table-VI: Energy Balance of India for 2017-18 (Final),Annexure_IV_Historical_energy_balance,Table_VI_Energy_Balance_of_India_for_2017_18_Final.csv,41,10,144,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
VII,Table-VII: Energy Balance of India for 2018-19 (Final),Annexure_IV_Historical_energy_balance,Table_VII_Energy_Balance_of_India_for_2018_19_Final.csv,41,10,145,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
VIII,Table-VIII: Energy Balance of India for 2019-20 (Final),Annexure_IV_Historical_energy_balance,Table_VIII_Energy_Balance_of_India_for_2019_20_Final.csv,41,10,146,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
IX,Table-IX: Energy Balance of India for 2020-21 ( Final ),Annexure_IV_Historical_energy_balance,Table_IX_Energy_Balance_of_India_for_2020_21_Final.csv,41,10,147,All figures in KToE,Final consumption refers to End Use Consumption | # Includes lignite
X,Table-X: Energy Balance of India for 2021-22 ( Final ),Annexure_IV_Historical_energy_balance,Table_X_Energy_Balance_of_India_for_2021_22_Final.csv,41,11,148,All figures in KToE,Final consumption refers to End Use Consumption
AI.1,Grading of coking coal based on ash content,Annexure_I_Coal_grades,Table_AI.1_Grading_of_coking_coal_based_on_ash_content.csv,8,2,131,,"Source: Coal Controller's Organisation, Ministry of Coal."
AI.2,Grades of semi-coking coal based on ash and moisture,Annexure_I_Coal_grades,Table_AI.2_Grades_of_semi_coking_coal_based_on_ash_and_moisture.csv,2,2,131,,"Source: Coal Controller's Organisation, Ministry of Coal."
AI.3,Grading of non-coking coal based on gross calorific value,Annexure_I_Coal_grades,Table_AI.3_Grading_of_non_coking_coal_based_on_gross_calorific_value.csv,17,2,131,,"Source: Coal Controller's Organisation, Ministry of Coal."
AII.1,Conversion factors,Annexure_II_Measurement_units,Table_AII.1_Conversion_factors.csv,15,2,133,,
AII.2,Net Calorific Value (NCV) used in the publicaltion (kJ/Kg),Annexure_II_Measurement_units,Table_AII.2_Net_Calorific_Value_NCV_used_in_the_publicaltion_kJ_Kg.csv,7,13,134,,Note: NCV=GCV*.95
AII.3,Conversion Factors of Crude Oil/Petroleum Products used in the publication,Annexure_II_Measurement_units,Table_AII.3_Conversion_Factors_of_Crude_Oil_Petroleum_Products_used_in_the_publicati.csv,12,5,134,,
